"","RRcode","City","province_code","Start_date","tenure_days_","tenure_bracket","cost_center","tran_month","production","depletion","nag"
"55","YVTC","Eoronto","province8","19-Dec-11","1","#N/A","5463",2013-04-01,650678.79,-213483.48,437195.31
"56","YVTC","Eoronto","province8","19-Dec-11","1","#N/A","5463",2013-05-01,756214.7,-169121.96,587092.74
"57","YVTC","Eoronto","province8","19-Dec-11","1","#N/A","5463",2013-06-03,864912.8,-92354.02,772558.78
"58","YVTC","Eoronto","province8","19-Dec-11","1","#N/A","5463",2013-07-01,683157.14,-560820.04,122337.1
"59","YVTC","Eoronto","province8","19-Dec-11","1","#N/A","5463",2013-08-01,915124.82,-318836.23,596288.6
"60","YVTC","Eoronto","province8","19-Dec-11","1","#N/A","5463",2013-09-03,287419.27,-170602.55,116816.71
"61","YVTC","Eoronto","province8","19-Dec-11","1","#N/A","5463",2013-10-01,802189.34,-191287.12,610902.22
"62","YVTC","Eoronto","province8","19-Dec-11","1","#N/A","5463",2013-11-01,396383.97,-102110.54,294273.42
"63","YVTC","Eoronto","province8","19-Dec-11","1","#N/A","5463",2013-12-02,1738337.46,-465774.79,1272562.68
"64","YVTC","Eoronto","province8","19-Dec-11","2","#N/A","5463",2014-01-02,2694011.41,-68269.4,2625742.01
"65","YVTC","Eoronto","province8","19-Dec-11","2","#N/A","5463",2014-02-03,1124221.65,-257755.15,866466.5
"66","YVTC","Eoronto","province8","19-Dec-11","2","#N/A","5463",2014-03-03,1652336.01,-433855.95,1218480.06
"67","YVTC","Eoronto","province8","19-Dec-11","2","#N/A","5463",2014-04-01,1390528.06,-171145.16,1219382.9
"68","YVTC","Eoronto","province8","19-Dec-11","2","#N/A","5463",2014-05-01,666798.34,-872391.66,-205593.32
"69","YVTC","Eoronto","province8","19-Dec-11","2","#N/A","5463",2014-06-02,1453778.21,-978109.74,475668.47
"70","YVTC","Eoronto","province8","19-Dec-11","2","#N/A","5463",2014-07-01,2087821.48,-333993.71,1753827.77
"71","YVTC","Eoronto","province8","19-Dec-11","2","#N/A","5463",2014-08-01,620455.58,-502224.35,118231.23
"72","YVTC","Eoronto","province8","19-Dec-11","2","#N/A","5463",2014-09-02,831901.89,-199004.66,632897.24
"73","YVTC","Eoronto","province8","19-Dec-11","2","#N/A","5463",2014-10-01,425526.8,-214697.62,210829.17
"74","YVTC","Eoronto","province8","19-Dec-11","2","#N/A","5463",2014-11-03,196457.87,-495704.37,-299246.5
"75","YVTC","Eoronto","province8","19-Dec-11","2","#N/A","5463",2014-12-01,843749.15,-393519.71,450229.44
"76","YVTC","Eoronto","province8","19-Dec-11","3","#N/A","5463",2015-01-02,1400924.98,-203373.51,1197551.46
"77","YVTC","Eoronto","province8","19-Dec-11","3","#N/A","5463",2015-02-02,1091179.26,-102825.19,988354.07
